"ComputerName","AppID","AppName","Publisher","Version"
"UDRTSS114","{90140000-0011-0000-0000-0000000FF1CE}_Office14.PROPLUS_{DCE6D0BF-93E4-46C5-9A7C-F1EFF9707C02}","Security Update for Microsoft Office 2010 (KB2589320) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0015-0409-0000-0000000FF1CE}","Microsoft Office Access MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-0016-0409-0000-0000000FF1CE}","Microsoft Office Excel MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-0018-0409-0000-0000000FF1CE}","Microsoft Office PowerPoint MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-0019-0409-0000-0000000FF1CE}","Microsoft Office Publisher MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-001A-0409-0000-0000000FF1CE}","Microsoft Office Outlook MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-001B-0409-0000-0000000FF1CE}","Microsoft Office Word MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-001F-0409-0000-0000000FF1CE}","Microsoft Office Proof (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-001F-0409-0000-0000000FF1CE}_Office14.PROPLUS_{6357AE0A-D15E-4919-A877-35280BB4F0D3}","Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-001F-0409-0000-0000000FF1CE}_Office14.PROPLUS_{99ACCA38-6DD3-48A8-96AE-A283C9759279}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-001F-0409-0000-0000000FF1CE}_Office14.VISIO_{6357AE0A-D15E-4919-A877-35280BB4F0D3}","Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-001F-0409-0000-0000000FF1CE}_Office14.VISIO_{99ACCA38-6DD3-48A8-96AE-A283C9759279}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-001F-040C-0000-0000000FF1CE}","Microsoft Office Proof (French) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-001F-040C-0000-0000000FF1CE}_Office14.PROPLUS_{46298F6A-1E7E-4D4A-B5F5-106A4F0E48C6}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-001F-040C-0000-0000000FF1CE}_Office14.PROPLUS_{82F87E28-B18E-46D6-A399-E2F19CF5949B}","Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-001F-040C-0000-0000000FF1CE}_Office14.VISIO_{46298F6A-1E7E-4D4A-B5F5-106A4F0E48C6}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-001F-040C-0000-0000000FF1CE}_Office14.VISIO_{82F87E28-B18E-46D6-A399-E2F19CF5949B}","Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-001F-0C0A-0000-0000000FF1CE}","Microsoft Office Proof (Spanish) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-001F-0C0A-0000-0000000FF1CE}_Office14.PROPLUS_{5E8EB600-8B94-429E-873E-98369C6DC1BC}","Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-001F-0C0A-0000-0000000FF1CE}_Office14.PROPLUS_{DEA87BE2-FFCC-4F33-9946-FCBE55A1E998}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-001F-0C0A-0000-0000000FF1CE}_Office14.VISIO_{5E8EB600-8B94-429E-873E-98369C6DC1BC}","Security Update for Microsoft Office 2010 (KB2878284) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-001F-0C0A-0000-0000000FF1CE}_Office14.VISIO_{DEA87BE2-FFCC-4F33-9946-FCBE55A1E998}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-002A-0000-1000-0000000FF1CE}_Office14.PROPLUS_{967EF02C-5C7E-4718-8FCB-BDC050190CCF}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-002A-0000-1000-0000000FF1CE}_Office14.VISIO_{967EF02C-5C7E-4718-8FCB-BDC050190CCF}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-002A-0409-1000-0000000FF1CE}_Office14.PROPLUS_{D6C6B46A-6CE1-4561-84A0-EFD58B8AB979}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-002A-0409-1000-0000000FF1CE}_Office14.VISIO_{D6C6B46A-6CE1-4561-84A0-EFD58B8AB979}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-002C-0409-0000-0000000FF1CE}","Microsoft Office Proofing (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS114","{90140000-002C-0409-0000-0000000FF1CE}_Office14.PROPLUS_{7CA93DF4-8902-449E-A42E-4C5923CFBDE3}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-002C-0409-0000-0000000FF1CE}_Office14.VISIO_{7CA93DF4-8902-449E-A42E-4C5923CFBDE3}","Microsoft Visio 2010 Service Pack 1 (SP1)","Microsoft",
"UDRTSS114","{90140000-0044-0409-0000-0000000FF1CE}","Microsoft Office InfoPath MUI (English) 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-0054-0409-0000-0000000FF1CE}","Microsoft Office Visio MUI (English) 2010","Microsoft Corporation","14.0.6029.1000"
