"ComputerName","AppID","AppName","Publisher","Version"
"DACTSS620","KB2727528","Security Update for Windows Server 2003 (KB2727528)","Microsoft Corporation","1"
"DACTSS620","KB2731847-v2","Security Update for Windows Server 2003 (KB2731847-v2)","Microsoft Corporation","2"
"DACTSS620","KB2742604","Security Update for Windows Server 2003 (KB2742604)","Microsoft Corporation","1"
"DACTSS620","KB2749655","Update for Windows Server 2003 (KB2749655)","Microsoft Corporation","1"
"DACTSS620","KB2758857","Security Update for Windows Server 2003 (KB2758857)","Microsoft Corporation","1"
"DACTSS620","KB2770660","Security Update for Windows Server 2003 (KB2770660)","Microsoft Corporation","1"
"DACTSS620","KB2779562","Hotfix for Windows Server 2003 (KB2779562)","Microsoft Corporation","1"
"DACTSS620","KB2780091","Security Update for Windows Server 2003 (KB2780091)","Microsoft Corporation","1"
"DACTSS620","KB2797052","Security Update for Windows Server 2003 (KB2797052)","Microsoft Corporation","1"
"DACTSS620","KB2797052-IE8","Security Update for Windows Internet Explorer 8 (KB2797052)","Microsoft Corporation","1"
"DACTSS620","KB2807986","Security Update for Windows Server 2003 (KB2807986)","Microsoft Corporation","1"
"DACTSS620","KB2808735","Security Update for Windows Server 2003 (KB2808735)","Microsoft Corporation","1"
"DACTSS620","KB2813170","Security Update for Windows Server 2003 (KB2813170)","Microsoft Corporation","1"
"DACTSS620","KB2820917","Security Update for Windows Server 2003 (KB2820917)","Microsoft Corporation","1"
"DACTSS620","KB2829361","Security Update for Windows Server 2003 (KB2829361)","Microsoft Corporation","1"
"DACTSS620","KB2834886","Security Update for Windows Server 2003 (KB2834886)","Microsoft Corporation","1"
"DACTSS620","KB2847311","Security Update for Windows Server 2003 (KB2847311)","Microsoft Corporation","1"
"DACTSS620","KB2850869","Security Update for Windows Server 2003 (KB2850869)","Microsoft Corporation","1"
"DACTSS620","KB2859537","Security Update for Windows Server 2003 (KB2859537)","Microsoft Corporation","1"
"DACTSS620","KB2862330","Security Update for Windows Server 2003 (KB2862330)","Microsoft Corporation","1"
"DACTSS620","KB2862335","Security Update for Windows Server 2003 (KB2862335)","Microsoft Corporation","1"
"DACTSS620","KB2864058","Security Update for Windows Server 2003 (KB2864058)","Microsoft Corporation","1"
"DACTSS620","KB2864063","Security Update for Windows Server 2003 (KB2864063)","Microsoft Corporation","1"
"DACTSS620","KB2868038","Security Update for Windows Server 2003 (KB2868038)","Microsoft Corporation","1"
"DACTSS620","KB2876217","Security Update for Windows Server 2003 (KB2876217)","Microsoft Corporation","1"
"DACTSS620","KB2876331","Security Update for Windows Server 2003 (KB2876331)","Microsoft Corporation","1"
"DACTSS620","KB2884256","Security Update for Windows Server 2003 (KB2884256)","Microsoft Corporation","1"
"DACTSS620","KB2892076","Security Update for Windows Server 2003 (KB2892076)","Microsoft Corporation","1"
"DACTSS620","KB2893294","Security Update for Windows Server 2003 (KB2893294)","Microsoft Corporation","1"
"DACTSS620","KB2900986","Security Update for Windows Server 2003 (KB2900986)","Microsoft Corporation","1"
"DACTSS620","KB2901115","Security Update for Windows Server 2003 (KB2901115)","Microsoft Corporation","1"
"DACTSS620","KB2909210-IE8","Security Update for Windows Internet Explorer 8 (KB2909210)","Microsoft Corporation","1"
"DACTSS620","KB2909213","Security Update for Windows Server 2003 (KB2909213)","Microsoft Corporation","1"
"DACTSS620","KB2914368","Security Update for Windows Server 2003 (KB2914368)","Microsoft Corporation","1"
"DACTSS620","KB2916036","Security Update for Windows Server 2003 (KB2916036)","Microsoft Corporation","1"
"DACTSS620","KB2922229","Security Update for Windows Server 2003 (KB2922229)","Microsoft Corporation","1"
"DACTSS620","KB2923392","Security Update for Windows Server 2003 (KB2923392)","Microsoft Corporation","1"
"DACTSS620","KB2925418","Security Update for Windows Server 2003 (KB2925418)","Microsoft Corporation","1"
"DACTSS620","KB2925418-IE8","Security Update for Windows Internet Explorer 8 (KB2925418)","Microsoft Corporation","1"
"DACTSS620","KB2926765","Security Update for Windows Server 2003 (KB2926765)","Microsoft Corporation","1"
"DACTSS620","KB2930275","Security Update for Windows Server 2003 (KB2930275)","Microsoft Corporation","1"
"DACTSS620","KB2936068","Security Update for Windows Server 2003 (KB2936068)","Microsoft Corporation","1"
"DACTSS620","KB2936068-IE8","Security Update for Windows Internet Explorer 8 (KB2936068)","Microsoft Corporation","1"
"DACTSS620","KB2953522-IE8","Security Update for Windows Internet Explorer 8 (KB2953522)","Microsoft Corporation","1"
"DACTSS620","KB909520","Microsoft Base Smart Card Cryptographic Service Provider Package","Microsoft Corporation",
"DACTSS620","KB923561","Security Update for Windows Server 2003 (KB923561)","Microsoft Corporation","1"
"DACTSS620","KB923845","Update for Windows Server 2003 (KB923845)","Microsoft Corporation","1"
"DACTSS620","KB924667-v2","Security Update for Windows Server 2003 (KB924667-v2)","Microsoft Corporation","2"
"DACTSS620","KB925066","Hotfix for Windows Server 2003 (KB925066)","Microsoft Corporation","1"
"DACTSS620","KB925398_WMP64","Security Update for Windows Media Player 6.4 (KB925398)","Microsoft Corporation",
"DACTSS620","KB925902","Security Update for Windows Server 2003 (KB925902)","Microsoft Corporation","1"
"DACTSS620","KB925902-v2","Security Update for Windows Server 2003 (KB925902-v2)","Microsoft Corporation","2"
"DACTSS620","KB927891","Update for Windows Server 2003 (KB927891)","Microsoft Corporation","5"
"DACTSS620","KB929123","Security Update for Windows Server 2003 (KB929123)","Microsoft Corporation","1"
"DACTSS620","KB931633","Hotfix for Windows Server 2003 (KB931633)","Microsoft Corporation","2"
"DACTSS620","KB931784","Security Update for Windows Server 2003 (KB931784)","Microsoft Corporation","1"
"DACTSS620","KB932370-v3","Hotfix for Windows Server 2003 (KB932370-v3)","Microsoft Corporation","3"
"DACTSS620","KB933061","Hotfix for Windows Server 2003 (KB933061)","Microsoft Corporation","1"
"DACTSS620","KB933729","Security Update for Windows Server 2003 (KB933729)","Microsoft Corporation","1"
"DACTSS620","KB935839","Security Update for Windows Server 2003 (KB935839)","Microsoft Corporation","1"
"DACTSS620","KB935840","Security Update for Windows Server 2003 (KB935840)","Microsoft Corporation","1"
"DACTSS620","KB938464","Security Update for Windows Server 2003 (KB938464)","Microsoft Corporation","1"
"DACTSS620","KB940349-v3","Hotfix for Windows Server 2003 (KB940349-v3)","Microsoft Corporation","3"
"DACTSS620","KB941202","Security Update for Windows Server 2003 (KB941202)","Microsoft Corporation","1"
"DACTSS620","KB941568","Security Update for Windows Server 2003 (KB941568)","Microsoft Corporation","1"
"DACTSS620","KB941569","Security Update for Windows Server 2003 (KB941569)","Microsoft Corporation","1"
"DACTSS620","KB941644","Security Update for Windows Server 2003 (KB941644)","Microsoft Corporation","1"
"DACTSS620","KB941693","Security Update for Windows Server 2003 (KB941693)","Microsoft Corporation","1"
"DACTSS620","KB942288-v4","Hotfix for Windows Server 2003 (KB942288-v4)","Microsoft Corporation","4"
"DACTSS620","KB943055","Security Update for Windows Server 2003 (KB943055)","Microsoft Corporation","1"
"DACTSS620","KB943295","Update for Windows Server 2003 (KB943295)","Microsoft Corporation","1"
"DACTSS620","KB943460","Security Update for Windows Server 2003 (KB943460)","Microsoft Corporation","1"
"DACTSS620","KB943485","Security Update for Windows Server 2003 (KB943485)","Microsoft Corporation","1"
"DACTSS620","KB943729","Update for Windows Server 2003 (KB943729)","Microsoft Corporation",
"DACTSS620","KB944338-v2","Security Update for Windows Server 2003 (KB944338-v2)","Microsoft Corporation","2"
"DACTSS620","KB944653","Security Update for Windows Server 2003 (KB944653)","Microsoft Corporation","1"
