"ComputerName","AppID","AppName","Publisher","Version"
"UDRTSS116","{5C75DA6D-F5E3-4D4B-A381-B52B8CA5B1CF}","Symantec Endpoint Protection","Symantec Corporation","11.0.7000.975"
"UDRTSS116","{633F3A7E-471D-4C08-A643-C184A2EE19AB}","XML Parser (MSXML) 6.10.1129.0","Microsoft","6.10.1129.0"
"UDRTSS116","{6CC848C5-DE4D-49F3-A1D3-3DE209B3E688}","Gemalto Access Client (x64) 5.5","Gemalto","5.5"
"UDRTSS116","{75ACABC2-ED30-4E70-AB16-B5D980787DD5}","Sysprep Pack","ExxonMobil","1.00.0000"
"UDRTSS116","{786970C5-E6F6-4A41-B238-AE25D4B91EEA}","Microsoft Monitoring Agent","Microsoft Corporation","7.1.10184.0"
"UDRTSS116","{7BBC85C8-A53D-4E41-9477-2B0F76543808}","BACS MAC Changer","ExxonMobil","1.00.0000"
"UDRTSS116","{7DFA8779-CB4B-40A7-BCBC-06AFA6B29DA5}","XOM Toolset","ExxonMobil","1.00.0000"
"UDRTSS116","{83E954A5-4BD0-4C18-BDC6-63BB4AA23EFA}","Veritas NetBackup Client","Symantec Corporation","6.5.0"
"UDRTSS116","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}","Microsoft .NET Framework 4 Extended","Microsoft Corporation","4.0.30319"
"UDRTSS116","{90140000-002A-0000-1000-0000000FF1CE}","Microsoft Office Office 64-bit Components 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS116","{90140000-002A-0409-1000-0000000FF1CE}","Microsoft Office Shared 64-bit MUI (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS116","{90140000-0116-0409-1000-0000000FF1CE}","Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2010","Microsoft Corporation","14.0.6029.1000"
"UDRTSS116","{A1C9093D-CD66-4B0B-B890-4DE5E2EC5428}","Veritas NetBackup 6.5.4 (6.5 Release Update 4)","Symantec Corporation","4000.0000"
"UDRTSS116","{A85634C1-370D-4A35-A872-8337942A570B}","Citrix XenApp 5.0","Citrix Systems, Inc.","5.0.2"
"UDRTSS116","{AAE18511-1041-40A5-9A50-E7C07DD6A504}","Citrix XenApp Commands (CTP3)","Citrix Systems, Inc.","5.0.1.1"
"UDRTSS116","{B0A5A6EE-F8BA-48B1-BB32-BAC17E96C2B4}","Microsoft Visual J# 2.0 Redistributable Package - SE (x64)","Microsoft Corporation","2.0.50728"
"UDRTSS116","{B3C8200C-9F0B-4D12-9498-00572F87B049}","Microsoft Application Virtualization Client for Remote Desktop Services","Microsoft Corporation","4.6.2.24020"
"UDRTSS116","{BD430C50-784F-32CD-87E7-A8C47EE6107F}","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft Corporation","10.0.30322"
"UDRTSS116","{C7D02CC3-4EA6-482D-8973-3F17D87F3EB9}","Spike Active X Control 1.0.0.19","ExxonMobil","1.0.0.19"
"UDRTSS116","{CE2CDD62-0124-36CA-84D3-9F4DCF5C5BD9}","Microsoft .NET Framework 3.5 SP1","Microsoft Corporation","3.5.30729"
"UDRTSS116","{D57B88AD-0120-4958-8626-758A4EBEC799}","Citrix EdgeSight for XenApp Agent 5.3 x64","Citrix Systems, Inc.","5.3.4139.3"
"UDRTSS116","{DD19981F-FBBF-46BD-92F5-94951BD717C1}","AutoLoad Scripts","ExxonMobil","1.00.0000"
"UDRTSS116","{F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}","Microsoft .NET Framework 4 Client Profile","Microsoft Corporation","4.0.30319"
"UDRTSS117","CmdHere","CMD Prompt Here PowerToy (Uninstall only)",,
"UDRTSS117","Microsoft .NET Framework 3.5 SP1","Microsoft .NET Framework 3.5 SP1","Microsoft Corporation",
"UDRTSS117","Microsoft .NET Framework 4 Client Profile","Microsoft .NET Framework 4 Client Profile","Microsoft Corporation","4.0.30319"
"UDRTSS117","Microsoft .NET Framework 4 Extended","Microsoft .NET Framework 4 Extended","Microsoft Corporation","4.0.30319"
"UDRTSS117","Microsoft Visual J# 2.0 Redistributable Package - SE (x64)","Microsoft Visual J# 2.0 Redistributable Package - SE (x64)","Microsoft Corporation",
"UDRTSS117","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft Corporation","10.0.30319"
"UDRTSS117","PowerShellHere","PowerShell Prompt Here PowerToy for Windows PowerShell v1.0 (Remove only)",,
"UDRTSS117","Veritas NetBackup Client","Veritas NetBackup Client","Symantec Corporation","6.5.0"
"UDRTSS117","{05751C5A-29E0-494E-A2C6-3229B196D23B}","XOM ORC","ExxonMobil SETS LSC","1.00.0000"
"UDRTSS117","{071c9b48-7c32-4621-a0ac-3f809523288f}","Microsoft Visual C++ 2005 Redistributable (x64)","Microsoft Corporation","8.0.56336"
"UDRTSS117","{1D8E6291-B0D5-35EC-8441-6616F567A0F7}","Microsoft Visual C++ Redistributable 2010 SP1 (x64)","ExxonMobil","10.0.40219"
