"Collection Name","CollectionID","Start Time","Duration in minutes","Maintenance Window Name","Maintenance Window Recurrence","Enabled"
"TS_AppDep.GME.PRD.AS.Quorum","CEN0263C","02:00:00 AM","240","Quorum Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.Quorum._DG1","CEN0263D","02:00:00 AM","240","DG1 Quorum Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.Quorum._DG2","CEN0263E","02:00:00 AM","240","DG2 Quorum Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.QuorumDRT","CEN02640","02:00:00 AM","240","QuorumDRT Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.RateServer","CEN02641","02:00:00 AM","240","RateServer Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.RedForest","CEN02642","02:00:00 AM","240","RedForest Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.ROAIMS","CEN02643","02:00:00 AM","240","ROAIMS Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.ROMEO","CEN02644","02:00:00 AM","240","ROMEO Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.RSA","CEN02645","02:00:00 AM","240","RSA Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.RSA._DG1","CEN02646","02:00:00 AM","240","DG1 Quorum Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.SatiSped","CEN02647","02:00:00 AM","240","SatiSped Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.SCOM2012","CEN02AF3","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.SCOM2012","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.AS.Shipnet","CEN02648","02:00:00 AM","240","Shipnet Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.Shipnet._DG1","CEN02649","02:00:00 AM","240","DG1 Shipnet Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
